         ps       /tb_rv32im_soc/DUT/pc  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_we_o                /tb_rv32im_soc/DUT/U_SDRAM/state  /tb_rv32im_soc/sdram_addr                         
          delta         /tb_rv32im_soc/DUT/instr  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_adr_o               /tb_rv32im_soc/sdram_cs_n       /tb_rv32im_soc/sdram_dq                    
           /tb_rv32im_soc/DUT/U_CPU/bus_stall_wire         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_o       /tb_rv32im_soc/sdram_ras_n                                                
          /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_cyc_o         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_ack_i       /tb_rv32im_soc/sdram_cas_n                                              
            /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_stb_o                /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_i  /tb_rv32im_soc/sdram_we_n                                           
          0  +0            32'hXXXXXXXX ******** U U U                           U ********* ******** U ********      ST_BOOT_WAIT U U U  U           12'hXXX **** 
     410000  +2            32'h000000F4 ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     410000  +4            32'h000000F8 ******** 1 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     410000  +5            32'h000000F8 ******** 1 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     410000  +8            32'h000000F8 ******** 0 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     430000  +4            32'h000000FC ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     430000  +5            32'h000000FC ******** 0 0 0                           0 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     450000  +4            32'h00000100 ******** 1 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     450000  +5            32'h00000100 ******** 1 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     450000  +8            32'h00000100 ******** 0 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     470000  +4            32'h00000104 ******** 0 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     470000  +5            32'h00000104 ******** 0 0 0                           1 ********* ******** 0 ********      ST_BOOT_REF2 0 1 1  1           12'h400 **** 
     490000  +2            32'h00000104 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 0 0  1           12'h400 **** 
     490000  +4            32'h00000108 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 0 0  1           12'h400 **** 
     490000  +5            32'h00000108 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 0 0  1           12'h400 **** 
     510000  +2            32'h00000108 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     510000  +4            32'h0000010C ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     510000  +5            32'h0000010C ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     530000  +4            32'h00000110 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     530000  +5            32'h00000110 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     550000  +4            32'h00000114 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     550000  +5            32'h00000114 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     570000  +4            32'h00000118 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     570000  +5            32'h00000118 ******** 0 0 0                           1 ********* ******** 0 ********       ST_BOOT_LMR 0 1 1  1           12'h400 **** 
     590000  +2            32'h00000118 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 0 0  0           12'h021 **** 
     590000  +4            32'h0000011C ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 0 0  0           12'h021 **** 
     590000  +5            32'h0000011C ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 0 0  0           12'h021 **** 
     610000  +2            32'h0000011C ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     610000  +4            32'h00000120 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     610000  +5            32'h00000120 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     630000  +4            32'h00000124 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     630000  +5            32'h00000124 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     650000  +4            32'h00000128 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     650000  +5            32'h00000128 ******** 0 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     670000  +4            32'h0000012C ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     670000  +5            32'h0000012C ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     690000  +4            32'h00000130 ******** 1 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     690000  +5            32'h00000130 ******** 1 1 1                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h021 **** 
     710000  +2            32'h00000130 ******** 1 1 1                           1 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
     710000  +4            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
     730000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     770000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********       ST_READ_CMD 0 1 1  1           12'h000 **** 
     790000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********      ST_READ_WAIT 0 1 0  1           12'h000 **** 
     810000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********      ST_READ_WAIT 0 1 1  1           12'h000 **** 
     830000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********      ST_READ_DATA 0 1 1  1           12'h000 **** 
     850000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
     850000  +3            32'h00000130 ******** 1 1 1                           0 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
     870000  +2            32'h00000130 ******** 1 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
     870000  +3            32'h00000130 ******** 1 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
     870000  +4            32'h00000130 ******** 0 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h000 **** 
     890000  +2            32'h00000130 ******** 0 1 1                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
     890000  +4            32'h00000134 ******** 1 1 1                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
     890000  +5            32'h00000134 ******** 1 1 1                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h400 **** 
     910000  +2            32'h00000134 ******** 1 1 1                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
     910000  +4            32'h00000134 ******** 0 1 1                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
     910000  +5            32'h00000134 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 0 1  1           12'h000 **** 
     930000  +2            32'h00000134 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     930000  +4            32'h00000138 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     930000  +5            32'h00000138 ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     950000  +4            32'h0000013C ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     950000  +5            32'h0000013C ******** 0 0 0                           0 ********* ******** 0 ********         ST_ACTIVE 0 1 1  1           12'h000 **** 
     970000  +2            32'h0000013C ******** 0 0 0                           0 ********* ******** 0 ********       ST_READ_CMD 0 1 1  1           12'h000 **** 
     970000  +4            32'h00000140 ******** 1 0 0                           1 ********* ******** 0 ********       ST_READ_CMD 0 1 1  1           12'h000 **** 
     970000  +5            32'h00000140 ******** 1 0 0                           1 ********* ******** 0 ********       ST_READ_CMD 0 1 1  1           12'h000 **** 
     970000  +8            32'h00000140 ******** 0 0 0                           1 ********* ******** 0 ********       ST_READ_CMD 0 1 1  1           12'h000 **** 
     990000  +2            32'h00000140 ******** 0 0 0                           1 ********* ******** 0 ********      ST_READ_WAIT 0 1 0  1           12'h000 **** 
     990000  +4            32'h00000144 ******** 0 0 0                           1 ********* ******** 0 ********      ST_READ_WAIT 0 1 0  1           12'h000 **** 
     990000  +5            32'h00000144 ******** 0 1 1                           1 ********* ******** 0 ********      ST_READ_WAIT 0 1 0  1           12'h000 **** 
     990000  +6            32'h00000144 ******** 1 1 1                           1 ********* ******** 0 ********      ST_READ_WAIT 0 1 0  1           12'h000 **** 
    1010000  +2            32'h00000144 ******** 1 1 1                           1 ********* ******** 0 ********      ST_READ_WAIT 0 1 1  1           12'h000 **** 
    1010000  +4            32'h00000144 ******** 0 1 1                           0 ********* ******** 0 ********      ST_READ_WAIT 0 1 1  1           12'h000 **** 
    1010000  +5            32'h00000144 ******** 0 0 0                           0 ********* ******** 0 ********      ST_READ_WAIT 0 1 1  1           12'h000 **** 
    1030000  +2            32'h00000144 ******** 0 0 0                           0 ********* ******** 0 ********      ST_READ_DATA 0 1 1  1           12'h000 **** 
    1030000  +4            32'h00000148 ******** 0 0 0                           0 ********* ******** 0 ********      ST_READ_DATA 0 1 1  1           12'h000 **** 
    1030000  +5            32'h00000148 ******** 0 0 0                           0 ********* ******** 0 ********      ST_READ_DATA 0 1 1  1           12'h000 **** 
    1050000  +2            32'h00000148 ******** 0 0 0                           0 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
    1050000  +3            32'h00000148 ******** 0 0 0                           0 ********* ******** 0 ********     ST_READ_DATA2 0 1 1  1           12'h000 **** 
